system   D            wsystem.c:583  maybe_parent_dir                 [   0.03975] Also searching D:\Iza\projekt\SNK\
display  D   display_settings.c:377  _al_score_display_settings       [   0.33562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33566] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33570] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33574] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33579] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33591] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33601] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33606] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33609] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33614] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33618] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33622] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33630] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33638] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.33642] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
